Availability,Available_Colors_OR_Size,Available_Size,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
Add to bag,,,,"Chain bracelet, yellow gold 750/1000.",,,€,B6026000,1.370,Chain bracelet,,,,https://www.cartier.com/en-be/chain-bracelet_cod25458910981581139.html,,
Add to bag,,,,"OM pendant, yellow gold 750/1000",,,€,B3153124,660,Symbol Pendants,,,,https://www.cartier.com/en-be/symbol-pendants_cod11452292647348921.html,,
,,,,"Cartier Fauna and Flora necklace, 18K white gold, set with emeralds and 945 brilliant-cut diamonds totalling 21.05 carats",,,,H7000716,,Cartier Fauna and Flora Necklace,,,,https://www.cartier.com/en-be/cartier-fauna-and-flora-necklace_cod43769801097813476.html,,
,,,,"C de Cartier necklace, white gold 750/1000, set with a brilliant-cut diamond available in 0.18 to 0.34 carats, 0.50 to 0.79 carats and 1.00 to 2.99 carats.",,,,N7413700,,C de Cartier necklace,,,,https://www.cartier.com/en-be/c-de-cartier-necklace_cod25458910981300297.html,,
Add to bag,,,,"Caresse d'Orchidées par Cartier ring, medium model, white gold 750/1000, set with 49 brilliant-cut diamonds totalling 0.54 carats (for size 52).",,,€,B4074400,9.950,Caresse d’Orchidées par Cartier ring,,,,https://www.cartier.com/en-be/caresse-d-orchidees-par-cartier-ring_cod25458910981299014.html,,
Add to bag,,,,"Amulette de Cartier bracelet, XS model, rose gold 750/1000, malachite, set with a brilliant-cut diamond of 0.02 carats. Diameter of motif: 12 mm (for size 17).",,,,B6047117,,"Amulette de Cartier bracelet, XS model",,,,https://www.cartier.com/en-be/amulette-de-cartier-bracelet-xs-model_cod25372685655708110.html,,
Add to bag,,,,"Écrou de Cartier bracelet, non-rhodium finish 750/1000 white gold. Width: 3.5 mm (for size 17).",,,,B6064417,,Ecrou de Cartier bracelet,,,,https://www.cartier.com/en-be/ecrou-de-cartier-bracelet_cod560971903867601.html,,
Add to bag,,,,"Clash de Cartier necklace, flexible medium model, rose gold 750/1000.",,,,N7424407,,"Clash de Cartier necklace, flexible medium model",,,,https://www.cartier.com/en-be/clash-de-cartier-necklace-flexible-medium-model_cod560971904121569.html,,
Add to bag,,,,"Clash de Cartier bracelet, flexible large model, rose gold 750/1000, onyx, diamonds",,,,N6723417,,Clash de Cartier bracelet,,,,https://www.cartier.com/en-be/clash-de-cartier-bracelet_cod1647597284036281.html,,
Add to bag,,,,"Clash de Cartier earrings, large model, rose gold 750/1000, onyx, diamonds.",,,€,N8515235,28.900,Clash de Cartier earrings,,,,https://www.cartier.com/en-be/clash-de-cartier-earrings_cod1647597284036296.html,,
