Availability,Available_Colors_OR_Size,Available_Size,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
Add to bag,,,,"Chain bracelet, yellow gold 750/1000.",,,лв,B6026000,2.650,Chain bracelet,,,,https://www.cartier.com/en-bg/chain-bracelet_cod25458910981581139.html,,
Add to bag,,,,"Chain necklace, yellow gold 750/1000.",,,лв,B7060700,1.280,Chain necklace,,,,https://www.cartier.com/en-bg/chain-necklace_cod25372685655706642.html,,
,,,,"Cartier Fauna and Flora necklace, 18K white gold, set with emeralds and 945 brilliant-cut diamonds totalling 21.05 carats",,,,H7000716,,Cartier Fauna and Flora Necklace,,,,https://www.cartier.com/en-bg/cartier-fauna-and-flora-necklace_cod43769801097813476.html,,
Add to bag,,,,"Agrafe earrings, rose gold 750/1000, each set with 42 brilliant-cut diamonds totalling 1.24 carats.",,,лв,N8515156,28.100,Agrafe earrings,,,,https://www.cartier.com/en-bg/agrafe-earrings_cod25372685655676183.html,,
,,,,"C de Cartier necklace, white gold 750/1000, set with a brilliant-cut diamond available in 0.18 to 0.34 carats, 0.50 to 0.79 carats and 1.00 to 2.99 carats.",,,,N7413700,,C de Cartier necklace,,,,https://www.cartier.com/en-bg/c-de-cartier-necklace_cod25458910981300297.html,,
Add to bag,,,,"Caresse d'Orchidées par Cartier ring, medium model, white gold 750/1000, set with 49 brilliant-cut diamonds totalling 0.54 carats (for size 52).",,,лв,B4074400,19.300,Caresse d’Orchidées par Cartier ring,,,,https://www.cartier.com/en-bg/caresse-d-orchidees-par-cartier-ring_cod25458910981299014.html,,
Add to bag,,,,"Caresse d'Orchidées par Cartier earrings, small model, white gold 750/1000, each set with 27 brilliant-cut diamonds totalling 0.62 carats.",,,лв,B8032200,23.200,Caresse d’Orchidées par Cartier earrings,,,,https://www.cartier.com/en-bg/caresse-d-orchidees-par-cartier-earrings_cod25458910981581977.html,,
Add to bag,,,,"Amulette de Cartier bracelet, XS model, rose gold 750/1000, malachite, set with a brilliant-cut diamond of 0.02 carats. Diameter of motif: 12 mm (for size 17).",,,,B6047117,,"Amulette de Cartier bracelet, XS model",,,,https://www.cartier.com/en-bg/amulette-de-cartier-bracelet-xs-model_cod25372685655708110.html,,
Add to bag,,,,"Écrou de Cartier bracelet, non-rhodium finish 750/1000 white gold. Width: 3.5 mm (for size 17).",,,,B6064417,,Ecrou de Cartier bracelet,,,,https://www.cartier.com/en-bg/ecrou-de-cartier-bracelet_cod560971903867601.html,,
Add to bag,,,,"Panthère de Cartier ring, yellow gold 750/1000, tsavorite garnets, onyx. Width of the pattern: 11 mm (for size 52).",,,лв,B4085900,13.900,Panthère de Cartier ring,,,,https://www.cartier.com/en-bg/panthere-de-cartier-ring_cod46184799614471615.html,,
Add to bag,,,,Diabolo de Cartier photo frame key ring in lacquered gold-finish metal. Functional photo frame. Dimensions: W 28 x H 38 mm,,,лв,OG000467,1.280,Diabolo de Cartier photo frame key ring,,,,https://www.cartier.com/en-bg/diabolo-de-cartier-photo-frame-key-ring_cod560971904547943.html,,
Add to bag,,,,"Panthère de Cartier trinket tray, medium model, in Limoges porcelain with arabesques motif, goat suede base. Dimensions: W 17 x L 17 x H 3 cm",,,лв,OG000850,950,"Panthère de Cartier trinket tray, medium model",,,,https://www.cartier.com/en-bg/panthere-de-cartier-trinket-tray-medium-model_cod42247633209194431.html,,
Add to bag,,,,"Santos de Cartier sunglasses in smooth and brushed golden-finish metal, cat eye shape and graduated burgundy lenses with pink flash. Dimensions: 59 mm lenses, 16 mm bridge, 140 mm temples.",,,лв,ESW00578,1.745,Santos de Cartier sunglasses,,,,https://www.cartier.com/en-bg/santos-de-cartier-sunglasses_cod36856120585486067.html,,
Add to bag,,,,"Clash de Cartier earrings, large model, rose gold 750/1000, onyx, diamonds.",,,лв,N8515235,56.500,Clash de Cartier earrings,,,,https://www.cartier.com/en-bg/clash-de-cartier-earrings_cod1647597284036296.html,,
Add to bag,,,,"Clash de Cartier bracelet, flexible large model, rose gold 750/1000, onyx, diamonds",,,,N6723417,,Clash de Cartier bracelet,,,,https://www.cartier.com/en-bg/clash-de-cartier-bracelet_cod1647597284036281.html,,
,,,,"Clash de Cartier necklace, double-row model, rose gold 750/1000. Width: 9.2 mm.",,,лв,N7424463,52.000,Clash de Cartier necklace,,,,https://www.cartier.com/en-bg/clash-de-cartier-necklace_cod1647597301578258.html,,
,,,,"Clash de Cartier earring, large model, rhodium-finish white gold 750/1000, Tahiti pearls, onyx, diamonds.",,,лв,N8515220,56.000,Clash de Cartier earring Large Model,,,,https://www.cartier.com/en-bg/clash-de-cartier-earring-large-model_cod23841192565662859.html,,
,,,,"Clash de Cartier necklace, double-row model, rose gold 750/1000. Width: 9.2 mm.",,,лв,N7424461,52.000,Clash de Cartier necklace,,,,https://www.cartier.com/en-bg/clash-de-cartier-necklace_cod1647597301578255.html,,
,,,,"Clash de Cartier bracelet, beads and studs model, rose gold 750/1000 and onyx.",,,,N6718917,,Clash de Cartier bracelet,,,,https://www.cartier.com/en-bg/clash-de-cartier-bracelet_cod32027475400179170.html,,
,,,,"Clash de Cartier ring, large model, rhodium-finish white gold 750/1000, Tahiti pearls, onyx, diamonds.",,,лв,N4777500,45.400,"Clash de Cartier ring, XL model",,,,https://www.cartier.com/en-bg/clash-de-cartier-ring-xl-model_cod27086482323971590.html,,
,,,,"Clash de Cartier earrings, double-row model, rose gold 750/1000, 284 diamonds, 1.13 carats. Width: 9.2 mm. Inner diameter: 16.2 mm.",,,лв,N8515236,42.000,Clash de Cartier earrings,,,,https://www.cartier.com/en-bg/clash-de-cartier-earrings_cod1647597301578261.html,,
Add to bag,,,,"Etincelle de Cartier necklace, white gold 750/1000, set with 32 brilliant-cut diamonds totalling 0.14 carats.",,,лв,B3045800,11.500,Etincelle de Cartier necklace,,,,https://www.cartier.com/en-bg/etincelle-de-cartier-necklace_cod25458910981456424.html,,
,,,,"Cactus de Cartier necklace, yellow gold 750/1000, set with 114 baguette-cut diamonds totalling 9.20 carats, tourmalines.",,,лв,H7000527,710.000,Cactus de Cartier necklace,,,,https://www.cartier.com/en-bg/cactus-de-cartier-necklace_cod4394988609244037.html,,
