Availability,Available_Colors_OR_Size,Available_Size,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
Add to bag,,,,"Maillon de Cartier watch, quartz movement. Yellow gold 750/1000 case, crown, and bracelet set with 581 brilliant-cut diamonds totalling 9.40 carats. Dimensions: 31 x 17 mm, thickness: 6.8 mm. Gold-finish steel sword-shaped hands, black lacquer dial, case edge, and chains. Water-resistant up to 3 bar (approx. 30 metres).",,,kn,WJBJ0006,1.030.000,Maillon de Cartier watch,,,,https://www.cartier.com/en-hr/maillon-de-cartier-watch_cod25372685655503481.html,,
,,,,"Tank Chinoise watch, mechanical movement with manual winding, calibre 430 MC.  Platinum 950/1000 case, platinum 950/1000 crown set with a ruby, grey sunray dial, polished grey steel sword-shaped hands, sapphire crystal. Strap in green alligator skin, ardillon buckle in platinum 950/1000.   Movement diameter: 20.5 mm, movement thickness: 2.15 mm, balance: 21,600 vibrations/hour, power reserve approx. 36 hours.  Case dimensions: 39.49 mm x 29.2 mm, thickness: 6.09 mm. Limited edition of 150 individually numbered timepieces. Water-resistant up to 3 bar (approx. 30 metres).",,,kn,WGTA0074,259.000,Tank Chinoise watch,,,,https://www.cartier.com/en-hr/tank-chinoise-watch_cod1647597282999670.html,,
,,,,"Coussin de Cartier watch, medium model, quartz movement. White gold 750/1000 case and dial set with 85 brilliant-cut diamonds totalling 0.38 carat, 587 sapphires, 276 tsavorites, 45 emeralds and 18 tourmalines. Case dimensions: 39.3 x 32.0 mm, thickness: 13.6 mm. Rhodium-finish white gold-finish steel sword-shaped hands, blue calfskin strap, rhodium-finish white gold 750/1000 ardillon buckle set with 21 brilliant-cut diamonds totalling 0.21 carat. Water-resistant up to 3 bar (approx. 30 metres).",,,kn,WJCS0012,600.000,Coussin de Cartier watch,,,,https://www.cartier.com/en-hr/coussin-de-cartier-watch_cod45666037504809344.html,,
,,,,"Baignoire watch, mini model, quartz movement. Case and 12-sided crown set in rhodium-finish white gold 750/1000 set with 42 brilliant-cut diamonds totalling 0.50 carats. Silvered sunray effect dial. Blued-steel sword-shaped hands. Sapphire crystal. Strap in black brushed calfskin, 9 mm ardillon buckle in rhodium-finish white gold 750/1000. Length: 25.3 mm, width: 20.79 mm, thickness: 7.73 mm. Water-resistant to 3 bar (approx. 30 metres).",,,kn,WJBA0026,157.000,Baignoire watch,,,,https://www.cartier.com/en-hr/baignoire-watch_cod1647597284470567.html,,
Add to bag,,,,"La Panthère watch, 23.6 mm, quartz movement. Yellow gold 750/1000 case set with 40 brilliant-cut diamonds totalling 0.24 carat, yellow gold 750/1000 panther head, pear-shaped tsavorite eyes totalling 0.16 carat, black lacquer spots and nose, gold-tone dial, blued-steel sword-shaped hands, yellow gold 750/1000 bracelet, 750/1000 yellow-gold ardillon buckle. Thickness: 7.8 mm. Water-resistant to 3 bar (approx. 30 metres).",,,kn,HPI01380,359.000,La Panthère de Cartier watch,,,,https://www.cartier.com/en-hr/la-panthere-de-cartier-watch_cod25372685655516914.html,,
Add to bag,,,,"Mini chain bag in red calfskin, golden-finish clasp, golden hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 140 mm high x 200 mm wide x 85 mm deep. Shoulder and cross-body carry.",,,kn,L1002357,22.900,"Chain bag mini, Panthère de Cartier",,,,https://www.cartier.com/en-hr/chain-bag-mini-panthere-de-cartier_cod1647597286075043.html,,
Add to bag,,,,"Ballon Bleu de Cartier watch, 40 mm, mechanical movement with automatic winding, calibre 1847 MC. Steel case, fluted crown set with a synthetic cabochon-shaped spinel, silvered guilloché dial, blued-steel sword-shaped hands, sapphire crystal, steel interchangeable bracelet, calendar aperture at 3 o'clock. Thickness: 12.4 mm. Water-resistant to 3 bar (approx. 30 metres).",,,kn,WSBB0040,54.000,Ballon Bleu de Cartier watch,,,,https://www.cartier.com/en-hr/ballon-bleu-de-cartier-watch_cod11452292647341347.html,,
Add to bag,,,,"Mini handle bag in grey calfskin, golden and black enamel-finish clasp, golden hot-stamped “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 150 mm high x 185 mm wide x 80 mm deep. Hand and cross-body carry.",,,kn,L1002376,20.600,"Handle bag mini, Panthère de Cartier",,,,https://www.cartier.com/en-hr/handle-bag-mini-panthere-de-cartier_cod1647597286075073.html,,
Add to bag,,,,"Chain bracelet, yellow gold 750/1000.",,,kn,B6026000,10.600,Chain bracelet,,,,https://www.cartier.com/en-hr/chain-bracelet_cod25458910981581139.html,,
Add to bag,,,,"OM pendant, yellow gold 750/1000",,,kn,B3153124,4.950,Symbol Pendants,,,,https://www.cartier.com/en-hr/symbol-pendants_cod11452292647348921.html,,
