Availability,Available_Colors_OR_Size,Available_Size,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
Add to bag,,,,"Maillon de Cartier watch, quartz movement. Yellow gold 750/1000 case, crown, and bracelet set with 581 brilliant-cut diamonds totalling 9.40 carats. Dimensions: 31 x 17 mm, thickness: 6.8 mm. Gold-finish steel sword-shaped hands, black lacquer dial, case edge, and chains. Water-resistant up to 3 bar (approx. 30 metres).",,,kr,WJBJ0006,"1,530,000",Maillon de Cartier watch,,,,https://www.cartier.com/en-se/maillon-de-cartier-watch_cod25372685655503481.html,,
,,,,"Maillon de Cartier watch, quartz movement. White gold 750/1000 case, crown, bracelet, and dial set with 301 brilliant-cut diamonds totalling 4.85 carats, bracelet set with 96 tsavorites. Dimensions: 31 x 17 mm, thickness: 6.8 mm. Blued-steel sword-shaped hands, green and blue lacquer on the dial and chains. Water-resistant up to 3 bar (approx. 30 metres).",,,kr,WJBJ0008,"1,450,000",Maillon de Cartier watch,,,,https://www.cartier.com/en-se/maillon-de-cartier-watch_cod25372685655503482.html,,
,,,,"Coussin de Cartier watch, medium model, quartz movement. White gold 750/1000 case and dial set with 85 brilliant-cut diamonds totalling 0.38 carat, 587 sapphires, 276 tsavorites, 45 emeralds and 18 tourmalines. Case dimensions: 39.3 x 32.0 mm, thickness: 13.6 mm. Rhodium-finish white gold-finish steel sword-shaped hands, blue calfskin strap, rhodium-finish white gold 750/1000 ardillon buckle set with 21 brilliant-cut diamonds totalling 0.21 carat. Water-resistant up to 3 bar (approx. 30 metres).",,,kr,WJCS0012,"890,000",Coussin de Cartier watch,,,,https://www.cartier.com/en-se/coussin-de-cartier-watch_cod45666037504809344.html,,
,,,,"Tank Chinoise watch, mechanical movement with manual winding, calibre 430 MC.  Platinum 950/1000 case, platinum 950/1000 crown set with a ruby, grey sunray dial, polished grey steel sword-shaped hands, sapphire crystal. Strap in green alligator skin, ardillon buckle in platinum 950/1000.   Movement diameter: 20.5 mm, movement thickness: 2.15 mm, balance: 21,600 vibrations/hour, power reserve approx. 36 hours.  Case dimensions: 39.49 mm x 29.2 mm, thickness: 6.09 mm. Limited edition of 150 individually numbered timepieces. Water-resistant up to 3 bar (approx. 30 metres).",,,kr,WGTA0074,"384,000",Tank Chinoise watch,,,,https://www.cartier.com/en-se/tank-chinoise-watch_cod1647597282999670.html,,
,,,,"La Panthère watch, 22.2 mm, quartz movement. Yellow gold 750/1000 case set with 128 brilliant-cut diamonds totalling 1.08 carat, panther heads in yellow gold 750/1000, pear-shaped tsavorite eyes, black lacquer spots and nose, gold dial, blued-steel sword-shaped hands, sapphire crystal, yellow gold 750/1000 strap. Thickness: 7.55 mm. Water-resistant up to 3 bar (approx. 30 metres).",,,kr,HPI01441,"925,000",La Panthère de Cartier watch,,,,https://www.cartier.com/en-se/la-panthere-de-cartier-watch_cod1647597276076631.html,,
,,,,"Baignoire watch, mini model, quartz movement. Case and 12-sided crown set in rhodium-finish white gold 750/1000 set with 42 brilliant-cut diamonds totalling 0.50 carats. Silvered sunray effect dial. Blued-steel sword-shaped hands. Sapphire crystal. Strap in black brushed calfskin, 9 mm ardillon buckle in rhodium-finish white gold 750/1000. Length: 25.3 mm, width: 20.79 mm, thickness: 7.73 mm. Water-resistant to 3 bar (approx. 30 metres).",,,kr,WJBA0026,"233,000",Baignoire watch,,,,https://www.cartier.com/en-se/baignoire-watch_cod1647597284470567.html,,
Add to bag,,,,"Pasha de Cartier watch, 35 mm, mechanical movement with automatic winding, calibre 1847 MC. Rose gold 750/1000 case, bezel set with 48 brilliant-cut diamonds totalling 1.15 carats, fluted crown cap and crown set with sapphires, silvered flinqué dial, blued-steel diamond-shaped hands, 2 alligator-skin straps, 1 navy blue and 1 purple with QuickSwitch interchangeable system, interchangeable rose gold 750/1000 folding buckle. Case diameter: 35 mm, thickness: 9.37 mm. Water-resistant to 10 bar (approx. 100 metres).",,,kr,WJPA0012,"315,000",Pasha de Cartier watch,,,,https://www.cartier.com/en-se/pasha-de-cartier-watch_cod44733502651434913.html,,
Add to bag,,,,"Santos-Dumont watch, extra-large model, Manufacture mechanical movement with manual winding, calibre 430 MC. Rose gold 750/1000 case, beaded crown set with a sapphire cabochon, silvered satin-finish sunray-effect dial, Roman numerals, blued-steel sword-shaped hands, sapphire crystal. Grey alligator-skin strap and rose gold 750/1000 ardillon buckle. Case dimensions: 46.6 mm x 33.9 mm, thickness: 7.5 mm. Water-resistant to 3 bar (approx. 30 metres).",,,kr,WGSA0032,"189,000",Santos-Dumont watch,,,,https://www.cartier.com/en-se/santos-dumont-watch_cod44733502651447110.html,,
Add to bag,,,,"R de Cartier ballpoint pen in black composite, golden-finish details, blue resin cabochon. Dimension: 140 mm high. Supplied with a ballpoint pen medium black ink refill.",,,kr,ST240005,"4,850",R de Cartier ballpoint pen,,,,https://www.cartier.com/en-se/r-de-cartier-ballpoint-pen_cod25372685655528419.html,,
Add to bag,,,,"The Maison Cartier is delighted to present its collection Rivières de Cartier, with an elegant set composed of three 10 ml sprays: Rivières de Cartier Allégresse, Rivières de Cartier Luxuriance and Rivières de Cartier Insouciance.   RIVIERES DE CARTIER ALLEGRESSE EAU DE TOILETTE  INGREDIENTS*: ALCOHOL, AQUA (WATER), PARFUM (FRAGRANCE), LINALOOL, LIMONENE, ETHYLHEXYL METHOXYCINNAMATE, CITRAL, DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, HYDROXYCITRONELLAL, BHT, BENZYL BENZOATE, CINNAMYL ALCOHOL, GERANIOL, FARNESOL, BENZYL ALCOHOL, ISOEUGENOL, BENZYL SALICYLATE, CITRONELLOL.  RIVIERES DE CARTIER LUXURIANCE EAU DE TOILETTE  INGREDIENTS*: ALCOHOL, AQUA (WATER), PARFUM (FRAGRANCE), LIMONENE, ETHYLHEXYL METHOXYCINNAMATE, BENZYL BENZOATE, LINALOOL, ETHYLHEXYL SALICYLATE, CITRAL, BHT, BUTYL METHOXYDIBENZOYLMETHANE, CITRONELLOL, GERANIOL, HYDROXYCITRONELLAL.  RIVIERES DE CARTIER INSOUCIANCE EAU DE TOILETTE  INGREDIENTS*: ALCOHOL, AQUA (WATER), PARFUM (FRAGRANCE), LINALOOL, LIMONENE, ETHYLHEXYL METHOXYCINNAMATE, HYDROXYCITRONELLAL, ALPHA-ISOMETHYL IONONE, CITRAL, ETHYLHEXYL SALICYLATE, BHT, BUTYL METHOXYDIBENZOYLMETHANE, GERANIOL.  *Non-contractual information",,,kr,FI010002,710,Rivières de Cartier Discovery Set 3x10 ml,,,,https://www.cartier.com/en-se/rivieres-de-cartier-discovery-set-3x10-ml_cod25185454456676096.html,,
,,,,"Tank Must watch, small model, photovoltaic SolarBeat™ movement. Steel case, beaded crown set with a synthetic cabochon-shaped spinel, silvered dial, blued-steel sword-shaped hands, light green strap (made without animal materials), steel ardillon buckle. Case dimensions: 29.5 mm x 22 mm, thickness: 6.6 mm. Water-resistant to 3 bar (approx. 30 metres).",,,kr,WSTA0061,"33,200",Tank Must watch,,,,https://www.cartier.com/en-se/tank-must-watch_cod20346390236386483.html,,
