Availability,Available_Colors_OR_Size,Available_Size,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
InStock,,,Home/Art of Living/Writing & Stationery,"Santos de Cartier ballpoint pen, large model, opaque green lacquered metal body, cap in palladium 950/1000 finish metal with gadroon motif, palladium 950/1000 finish screw and details, and clip screw in malachite.
Dimensions: 140.5 x 12.9 mm.",,aeid5482,SAR,CROP000164,4500.00,Santos de Cartier ballpoint pen,aeid5482_cartier_SaudiArabia,2022-11-02 16:52:27.000137,https://www.cartier.com,https://www.cartier.com/en-sa/art-of-living/writing-%26-stationery/santos-de-cartier-ballpoint-pen-CROP000164.html,SaudiArabia,Writing & Stationery
InStock,,,Home/Art of Living/Writing & Stationery/Writing instruments,Cartier Transatlantique R de Cartier ballpoint pen with rivet motif in palladium-finish metal with a blue resin cabochon. Dimension: 140 mm high. Supplied with a ballpoint pen medium black ink refill.,,aeid5482,SAR,CRST240033,3250.00,R de Cartier ballpoint pen,aeid5482_cartier_SaudiArabia,2022-11-02 16:52:27.000137,https://www.cartier.com,https://www.cartier.com/en-sa/art-of-living/writing-%26-stationery/writing-instruments/r-de-cartier-ballpoint-pen-CRST240033.html,SaudiArabia,Writing & Stationery
InStock,,,Home/Art of Living/Writing & Stationery/Writing instruments,"Santos de Cartier rollerball pen, large model, body and cap in gold-finish metal with gadroon motif, gold-finish details and screw. 
Dimensions: 140.8 mm high.
Accompanied by a rollerball pen refill, black ink.
Cartier offers you the possibility of personalizing your writing instrument.",,aeid5482,SAR,CROP000120,3850.00,Santos de Cartier rollerball pen,aeid5482_cartier_SaudiArabia,2022-11-02 16:52:27.000137,https://www.cartier.com,https://www.cartier.com/en-sa/art-of-living/writing-%26-stationery/writing-instruments/santos-de-cartier-rollerball-pen-CROP000120.html,SaudiArabia,Writing & Stationery
InStock,,,Home/Art of Living/Writing & Stationery/Notebooks & Agendas,Set of three Diabolo de Cartier notebooks in calfskin with paper sourced from sustainably managed forests. Dimensions: W 14 x L 9 cm,,aeid5482,SAR,CROG000481,1470.00,Set of three Diabolo de Cartier notebooks,aeid5482_cartier_SaudiArabia,2022-11-02 16:52:27.000137,https://www.cartier.com,https://www.cartier.com/en-sa/art-of-living/writing-%26-stationery/notebooks-%26-agendas/set-of-three-diabolo-de-cartier-notebooks-CROG000481.html,SaudiArabia,Writing & Stationery
InStock,,,Home/Art of Living/Writing & Stationery/Writing instruments,"R de Cartier rollerball pen in black composite, golden-finish details, blue resin cabochon. Dimension: 151 mm high. Supplied with a rollerball pen black ink refill.",,aeid5482,SAR,CRST240004,2070.00,R de Cartier rollerball pen,aeid5482_cartier_SaudiArabia,2022-11-02 16:52:27.000137,https://www.cartier.com,https://www.cartier.com/en-sa/art-of-living/writing-%26-stationery/writing-instruments/r-de-cartier-rollerball-pen-CRST240004.html,SaudiArabia,Writing & Stationery
InStock,,,Home/Art of Living/Writing & Stationery/Writing instruments,"Santos de Cartier ballpoint pen, large model, cap in striated metal covered with blue PVD with brushed metal body, palladium-finish screw and details. 
Dimensions: 141.3 x 12.9 mm. 
Accompanied by a ballpoint pen refill, black ink, medium size.
Cartier offers you the possibility of personalizing your writing instrument.",,aeid5482,SAR,CROP000183,3950.00,Santos de Cartier ballpoint pen,aeid5482_cartier_SaudiArabia,2022-11-02 16:52:27.000137,https://www.cartier.com,https://www.cartier.com/en-sa/art-of-living/writing-%26-stationery/writing-instruments/santos-de-cartier-ballpoint-pen-CROP000183.html,SaudiArabia,Writing & Stationery
InStock,,,Home/Art of Living/Writing & Stationery/Writing instruments,"R de Cartier ballpoint pen in black composite, golden-finish details, blue resin cabochon. Dimension: 140 mm high. Supplied with a ballpoint pen medium black ink refill.",,aeid5482,SAR,CRST240005,1900.00,R de Cartier ballpoint pen,aeid5482_cartier_SaudiArabia,2022-11-02 16:52:27.000137,https://www.cartier.com,https://www.cartier.com/en-sa/art-of-living/writing-%26-stationery/writing-instruments/r-de-cartier-ballpoint-pen-CRST240005.html,SaudiArabia,Writing & Stationery
InStock,,,Home/Art of Living/Writing & Stationery/Writing instruments,"R de Cartier ballpoint pen in black composite, palladium-finish details, blue resin cabochon. Dimension: 140 mm high. Supplied with a ballpoint pen medium black ink refill.",,aeid5482,SAR,CRST240000,1850.00,R de Cartier ballpoint pen,aeid5482_cartier_SaudiArabia,2022-11-02 16:52:27.000137,https://www.cartier.com,https://www.cartier.com/en-sa/art-of-living/writing-%26-stationery/writing-instruments/r-de-cartier-ballpoint-pen-CRST240000.html,SaudiArabia,Writing & Stationery
OutOfStock,,,Home/Art of Living/Writing & Stationery/Notebooks & Agendas,"Panthère de Cartier A5 notebook with paper from sustainable forests, exclusive to the 13 rue de la Paix boutique. Size: L 15 x W 21.4 cm",,aeid5482,,CROG000724,,"Panthère de Cartier notebook, exclusive to 13 rue de la Paix boutique",aeid5482_cartier_SaudiArabia,2022-11-02 16:52:27.000137,https://www.cartier.com,https://www.cartier.com/en-sa/art-of-living/writing-%26-stationery/notebooks-%26-agendas/panthere-de-cartier-notebook-exclusive-to-13-rue-de-la-paix-boutique-CROG000724.html,SaudiArabia,Writing & Stationery
OutOfStock,,,Home/Art of Living/Eyewear/Women's Sunglasses,"Panthère de Cartier sunglasses in smooth golden-finish metal, round shape and graduated burgundy lenses with pink flash. Dimensions: 62 mm lenses, 17 mm bridge, 140 mm temples.",,aeid5482,,CRESW00582,,Panthère de Cartier sunglasses,aeid5482_cartier_SaudiArabia,2022-11-02 16:52:27.000137,https://www.cartier.com,https://www.cartier.com/en-sa/panthere-de-cartier-sunglasses-CRESW00582.html,SaudiArabia,Eyewear
