Availability,Colors,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
OutofStock,,,"Small chain bag in black calfskin, golden-finish clasp, golden hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 6.3” high x 9.3” wide x 4.1” deep. Shoulder and cross-body carry.",,aeid5482,SAR,CRL1002352,13300.00,"Chain bag small, Panthère de Cartier",aeid5482_cartier,2022-11-04 15:39:13.764503,https://www.cartier.com,https://www.cartier.com/en-sa/art-of-living/bags/bags-for-her/chain-bag-small-panthere-de-cartier-CRL1002352.html,SaudiArabia,bags
OutofStock,,,"Must de Cartier hobo bag, small model, in burgundy calfskin, signature Cartier medallion. Interior: One zipped pocket, one signature pocket with removable mirror. Fastening system with push buttons. Lining: burgundy lambskin. Dimensions: 225 mm high x 220 mm long x 55 mm deep. Adjustable shoulder strap with gold-finish details for straight or across the shoulder carry.",,aeid5482,SAR,CRL1002250,7050.00,"Hobo bag small model, Must de Cartier",aeid5482_cartier,2022-11-04 15:39:13.764503,https://www.cartier.com,https://www.cartier.com/en-sa/art-of-living/bags/bags-for-her/hobo-bag-small-model-must-de-cartier-CRL1002250.html,SaudiArabia,bags
OutofStock,,,"Mini model chain bag in dark green calfskin, gold and dark green enamel-finish clasp, golden hot-stamped “Cartier” signature inside. One interior compartment, six credit card slots, one flat pocket and one signature pocket with removable mirror. Lining: black lambskin. Removable chain. Dimensions: 120 mm high x 200 mm wide x 35 mm deep. Shoulder and cross-body carry.",,aeid5482,SAR,CRL1002367,10600.00,"Mini model chain bag, Double C de Cartier",aeid5482_cartier,2022-11-04 15:39:13.764503,https://www.cartier.com,https://www.cartier.com/en-sa/art-of-living/bags/bags-for-her/mini-model-chain-bag-double-c-de-cartier-CRL1002367.html,SaudiArabia,bags
OutofStock,,,"Small chain bag in beige calfskin, palladium-finish clasp, silver hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 6.3” high x 9.3” wide x 4.1” deep. Shoulder and cross-body carry.",,aeid5482,SAR,CRL1002389,13300.00,"Chain bag small, Panthère de Cartier",aeid5482_cartier,2022-11-04 15:39:13.764503,https://www.cartier.com,https://www.cartier.com/en-sa/art-of-living/bags/bags-for-her/chain-bag-small-panthere-de-cartier-CRL1002389.html,SaudiArabia,bags
OutofStock,,,"Mini model handle bag in pale pink calfskin, palladium and black enamel-finish clasp, silver embossed “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 150 mm high x 185 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,SAR,CRL1002328,11200.00,"Top handle bag mini model, Panthère de Cartier",aeid5482_cartier,2022-11-04 15:39:13.764503,https://www.cartier.com,https://www.cartier.com/en-sa/art-of-living/bags/bags-for-her/top-handle-bag-mini-model-panthere-de-cartier-CRL1002328.html,SaudiArabia,bags
OutofStock,,,"Mini shoulder bag in pale pink calfskin, golden and pale pink enamel-finish clasp, golden hot-stamped “Cartier” signature inside. Three inside compartments, one flat pocket and one signature pocket with removable mirror. Lining: black lambskin. Dimensions: 6.3” high x 7.5” wide x 2.75” deep. Shoulder and cross-body carry.",,aeid5482,SAR,CRL1002364,10200.00,"Mini model shoulder bag, Double C de Cartier",aeid5482_cartier,2022-11-04 15:39:13.764503,https://www.cartier.com,https://www.cartier.com/en-sa/art-of-living/bags/bags-for-her/mini-model-shoulder-bag-double-c-de-cartier-CRL1002364.html,SaudiArabia,bags
OutofStock,,,"Small chain bag in dark green calfskin, gold and dark green enamel-finish clasp, golden hot-stamped “Cartier” signature inside. One interior compartment, one zipped pocket, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 150 mm high x 240 mm wide x 50 mm deep. Shoulder and cross-body carry.",,aeid5482,SAR,CRL1002368,12100.00,"Chain bag small model, Double C de Cartier",aeid5482_cartier,2022-11-04 15:39:13.764503,https://www.cartier.com,https://www.cartier.com/en-sa/art-of-living/bags/bags-for-her/chain-bag-small-model-double-c-de-cartier-CRL1002368.html,SaudiArabia,bags
OutofStock,,,"Mini model chain bag in two-tone pink/pale pink calfskin, palladium and pale pink enamel-finish clasp, silver hot-stamped “Cartier” signature inside. One interior compartment, six credit card slots, one flat pocket and one signature pocket with removable mirror. Lining: black lambskin. Removable chain. Dimensions: 120 mm high x 200 mm wide x 35 mm deep. Shoulder and cross-body carry.",,aeid5482,SAR,CRL1002369,10600.00,"Mini model chain bag, Double C de Cartier",aeid5482_cartier,2022-11-04 15:39:13.764503,https://www.cartier.com,https://www.cartier.com/en-sa/art-of-living/bags/bags-for-her/mini-model-chain-bag-double-c-de-cartier-CRL1002369.html,SaudiArabia,bags
OutofStock,,,"Must de Cartier hobo bag, small model, in black calfskin, signature Cartier medallion. Interior: One zipped pocket, one signature pocket with removable mirror. Fastening system with push buttons. Lining: burgundy lambskin. Dimensions: 225 mm high x 220 mm long x 55 mm deep. Adjustable shoulder strap with gold-finish details for straight or across the shoulder carry.",,aeid5482,SAR,CRL1002251,7050.00,"Hobo bag small model, Must de Cartier",aeid5482_cartier,2022-11-04 15:39:13.764503,https://www.cartier.com,https://www.cartier.com/en-sa/art-of-living/bags/bags-for-her/hobo-bag-small-model-must-de-cartier-CRL1002251.html,SaudiArabia,bags
OutofStock,,,"Mini chain bag in petrol blue calfskin, golden-finish clasp, golden hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 5.5” high x 7.9” wide x 3.3” deep. Shoulder and cross-body carry.",,aeid5482,SAR,CRL1002361,12100.00,"Chain bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-04 15:39:13.764503,https://www.cartier.com,https://www.cartier.com/en-sa/art-of-living/bags/bags-for-her/chain-bag-mini-panthere-de-cartier-CRL1002361.html,SaudiArabia,bags
