Availability,Available_Colors_OR_Size,Available_Size,Context_Identifier,Description,Price_Currency,Product_Price,Product_Title,Source,execution_id,feed_code,record_create_by,record_create_date,site,sku,source_country,type,urls
InStock,,Not_Available,Home/Art of Living/Fragrances/Fragrance Gift Sets,"The Maison Cartier is delighted to present three of its finest olfactory creations for men, with an elegant set composed of three 10 ml sprays: Déclaration Eau de Toilette, Pasha Edition Noire Eau de Toilette and Pasha Fragrance.",USD,65.00,Men’s Discovery Set 3x10 ml,https://www.cartier.com/en-us/art-of-living/fragrances/fragrance-gift-sets/men%E2%80%99s-discovery-set-3x10%C2%A0ml-CR66002003.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CR66002003,USA,Fragrances,
InStock,,Not_Available,Home/Art of Living/Fragrances/Women's fragrances,"Elegant Cartier fragrance discovery set with festive decoration for you or your loved ones.
This set contains a 75 ml Eau de Parfum, 40 ml Hand Cream and a 15 ml Purse Spray from the La Panthère collection.
EAU DE PARFUM:
INGREDIENTS: ALCOHOL, PARFUM (FRAGRANCE), AQUA (WATER), LINALOOL, BENZYL BENZOATE, ALPHA-ISOMETHYL IONONE, ETHYLHEXYL METHOXYCINNAMATE, GERANIOL, DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, ETHYLHEXYL SALICYLATE, BUTYL METHOXYDIBENZOYLMETHANE, BENZYL SALICYLATE, LIMONENE, BHT,EVERNIA PRUNASTRI (OAKMOSS) EXTRACT, CINNAMYL ALCOHOL, ISOEUGENOL, CITRONELLOL, CITRAL, CI 19140 (YELLOW N°5), CI 15510 (ORANGE N°4), CI 17200 (RED N°33), CI 14700 (RED N°4)
HAND CREAM:
INGREDIENTS: AQUA (WATER), COCO-CAPRYLATE/CAPRATE, DIGLYCERIN, SQUALANE, ARACHIDYL ALCOHOL, SODIUM POLYACRYLATE, PARFUM (FRAGRANCE), CAMELLIA OLEIFERA SEED OIL, BEHENYL ALCOHOL, PRUNUS PERSICA KERNEL OIL, ARACHIDYL GLUCOSIDE, 1,2-HEXANEDIOL, CAPRYLYL GLYCOL, TOCOPHERYL ACETATE, CHLORPHENESIN, SODIUM STEAROYL GLUTAMATE, HYDROGENATED VEGETABLE OIL, SODIUM BENZOATE, CITRIC ACID, LINALOOL, BENZYL BENZOATE, GLYCERYL STEARATE, ALPHA-ISOMETHYL IONONE, GERANIOL, TOCOPHEROL, BENZYL SALICYLATE, LIMONENE",USD,136.00,"La Panthère Eau de Parfum gift set containing a 75 ml Eau de Parfum, 40 ml Hand Cream and a 15 ml Purse Spray",https://www.cartier.com/en-us/art-of-living/fragrances/womens-fragrances/la-panthere-eau-de-parfum-gift-set-containing-a-75-ml-eau-de-parfum-40-ml-hand-cream-and-a-15-ml-purse-spray-CRFS075050.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRFS075050,USA,Fragrances,
InStock,,Not_Available,Home/Art of Living/Fragrances/Fragrance Gift Sets,"An elegant Panthère de Cartier gift set for you or your loved ones to discover, composed of a 75 ml Eau de Parfum, a 15 ml Purse Spray in its slip case, a 25 ml Fragrance, a 40 ml Hand Cream and a 75 ml Eau de Parfum All Over Body Spray.
EAU DE PARFUM
INGREDIENTS: ALCOHOL, PARFUM (FRAGRANCE), AQUA (WATER), LINALOOL, BENZYL BENZOATE, ALPHA-ISOMETHYL IONONE, ETHYLHEXYL METHOXYCINNAMATE, GERANIOL, DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, ETHYLHEXYL SALICYLATE, BUTYL METHOXYDIBENZOYLMETHANE, BENZYL SALICYLATE, LIMONENE, BHT, EVERNIA PRUNASTRI EXTRACT, CINNAMYL ALCOHOL, ISOEUGENOL, CITRONELLOL, CITRAL, CI 19140 (YELLOW N°5), CI 15510 (ORANGE N°4), CI 17200 (RED N°33), CI 14700 (RED N°4).
79% VOL.
FRAGRANCE
INGREDIENTS: ALCOHOL, PARFUM (FRAGRANCE), AQUA (WATER), LINALOOL, GERANIOL, ALPHA-ISOMETHYL IONONE, BENZYL BENZOATE, CITRAL, EVERNIA PRUNASTRI (OAKMOSS) EXTRACT, LIMONENE, BENZYL SALICYLATE, ISOEUGENOL, CINNAMYL ALCOHOL, ANISE ALCOHOL, CITRONELLOL, EUGENOL, BENZYL ALCOHOL.
78% VOL.
HAND CREAM
INGREDIENTS: AQUA (WATER), COCO-CAPRYLATE/CAPRATE, DIGLYCERIN, SQUALANE, ARACHIDYL ALCOHOL, SODIUM POLYACRYLATE, PARFUM (FRAGRANCE), CAMELLIA OLEIFERA SEED OIL, BEHENYL ALCOHOL, PRUNUS PERSICA KERNEL OIL, ARACHIDYL GLUCOSIDE, 1,2-HEXANEDIOL, CAPRYLYL GLYCOL, TOCOPHERYL ACETATE, CHLORPHENESIN, SODIUM STEAROYL GLUTAMATE, HYDROGENATED VEGETABLE OIL, SODIUM BENZOATE, CITRIC ACID, LINALOOL, BENZYL BENZOATE, GLYCERYL STEARATE, ALPHA-ISOMETHYL IONONE, GERANIOL, TOCOPHEROL, BENZYL SALICYLATE, LIMONENE.
EAU DE PARFUM ALL OVER BODY SPRAY
INGREDIENTS: ALCOHOL, AQUA (WATER), PARFUM (FRAGRANCE), PPG-26-BUTETH-26, PEG-40 HYDROGENATED CASTOR OIL, LINALOOL, BENZYL BENZOATE, ALPHA-ISOMETHYL IONONE, BHT, GERANIOL, BENZYL SALICYLATE, LIMONENE, EVERNIA PRUNASTRI (OAKMOSS) EXTRACT, CINNAMYL ALCOHOL, ISOEUGENOL.
77% VOL.",USD,375.00,La Panthère Premium Gift Set,https://www.cartier.com/en-us/art-of-living/fragrances/fragrance-gift-sets/la-panthere-premium-gift-set-CRFS075053.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRFS075053,USA,Fragrances,
InStock,,Not_Available,Home/Art of Living/Fragrances/Men's fragrances,"Generous and complex, this fragrance evokes a river brimming with nature, fern, lentiscus, oak, rosemary and wild herbs. A source of natural and wild freshness whose primitive energy is magnified by the geranium. INGREDIENTS: ALCOHOL, AQUA (WATER), PARFUM (FRAGRANCE), LIMONENE, ETHYLHEXYL METHOXYCINNAMATE, BENZYL BENZOATE, LINALOOL, ETHYLHEXYL SALICYLATE, CITRAL, BHT, BUTYL METHOXYDIBENZOYLMETHANE, CITRONELLOL, GERANIOL, HYDROXYCITRONELLAL.",USD,116.00,Rivières de Cartier Luxuriance,https://www.cartier.com/en-us/art-of-living/fragrances/mens-fragrances/rivieres-de-cartier-luxuriance-CRFI100003.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRFI100003,USA,Fragrances,
InStock,,Not_Available,Home/Art of Living/Fragrances/Men's fragrances,"Nécessaire à Parfum lacquered with a deep green Mashrabiya motif, to be combined with 30 ml glass refills that slip into the case.
Several fragrances are available among our collections.",USD,870.00,Cartier Nécessaires à Parfum - Mashrabiya Case,https://www.cartier.com/en-us/art-of-living/fragrances/mens-fragrances/cartier-necessaires-a-parfum---mashrabiya-case-CRFH030039.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRFH030039,USA,Fragrances,
OutOfStock,,Not_Available,Home/Art of Living/Fragrances/Fragrance Gift Sets,"An elegant Cartier Fragrance Collection discovery set for you or your loved ones: Les Heures de Parfum, Les Heures Voyageuses and Les Épures de Parfum.
Cartier perfumer Mathilde Laurent creates Cartier High Perfumery collections in the Maison's style.
The creator delivers her instinctive and free-spirited vision of perfume, where nature plays a central and visceral role. With the Les Heures de Parfum Collection she creates 13 precious hours like an olfactory manifesto. These hours, a countdown of the passing of time, are formulas that have been imagined as markers of emotion.
With the Les Heures Voyageuses Collection, she revisits one of the great ingredients of the East through six creations devoted to Oud resin, exploring its many characteristics and the evocative power of its woody, animal notes.
As the latest opus, the Les Épures Collection captures the pure and simple truth of a unique sensation. Muguet, Kinkan and Magnolia, three fragrances, three olfactory X-rays that are delivered unadorned by Mathilde Laurent.",USD,189.00,Fragrance Collection Discovery Set,https://www.cartier.com/en-us/art-of-living/fragrances/fragrance-gift-sets/fragrance-collection-discovery-set-CRFC004004.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRFC004004,USA,Fragrances,
InStock,,Not_Available,Home/Art of Living/Fragrances/Women's fragrances,"To recapture the sensuality of the Baiser Volé fragrance, a smooth body milk enriched with an extract of lily, recognized for its softening properties, which produces a sensation of comfort and well-being, leaving the skin moisturized and delicately perfumed.
paraben-free formula
INGREDIENTS: AQUA (WATER), BUTYLENE GLYCOL, PHENYL TRIMETHICONE, HYDROXYETHYL UREA, PARFUM (FRAGRANCE), DIISOPROPYL DIMER DILINOLEATE, ETHYLHEXYL PALMITATE, C20-22 ALKYL PHOSPHATE, C20-22 ALCOHOLS, TRIDECETH-9 PG-AMODIMETHICONE, AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER, GLYCERIN, ETHYLHEXYL STEARATE, PHENOXYETHANOL, PROPYLENE GLYCOL, BENZYL SALICYLATE, INULIN LAURYL CARBAMATE, HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER, SQUALANE, TRIDECETH-12, CHLORPHENESIN, GLYCERYL UNDECYLENATE, SODIUM HYDROXIDE, TETRASODIUM EDTA, ALPHA-ISOMETHYL IONONE, POLYSORBATE 60, LINALOOL, CITRONELLOL, LIMONENE, GERANIOL, LILIUM CANDIDUM FLOWER EXTRACT, ISOEUGENOL.",USD,54.00,Baiser Volé perfumed body milk,https://www.cartier.com/en-us/art-of-living/fragrances/womens-fragrances/baiser-vole-perfumed-body-milk-CRFP145044.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRFP145044,USA,Fragrances,
InStock,,Not_Available,Home/Art of Living/Eyewear,"Sunglasses in white horn with a smooth golden finish, rectangular shape, green lenses and class 3 solar protection.
Dimensions: lenses 58 mm, bridge 17 mm, temples 140 mm.",USD,3395.00,C de Cartier signature Sunglasses,https://www.cartier.com/en-us/art-of-living/eyewear/c-de-cartier-signature-sunglasses-CRESW00462.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRESW00462,USA,Eyewear,
OutOfStock,,Not_Available,Home/Art of Living/Fragrances/Les Nécessaires à Parfum Cartier,"1 fl. oz glass refills that slip into the cases of the Nécessaires à Parfum thanks to a magnet. Infinite possibilities, allowing you to change fragrance at any time and from one day to the next, according to your desires. Choose among a variety of fragrances in the Cartier library.
III L'Heure Vertueuse Eau de Toilette 2x1 fl. oz:
Find your way back to a medicinal garden grown wild with sprightly aromatic herbs. Prescribed for an enlightening moment of well-being: thyme and verbena, lavender, teasing greenery and cheerful absinthe with a soothing almond embrace.",USD,285.00,Nécessaires à Parfum III L'Heure Vertueuse Eau de Toilette Pack of 2x1 fl. oz,https://www.cartier.com/en-us/necessaires-a-parfum-iii-lheure-vertueuse-eau-de-toilette-pack-of-2x1-fl.-oz-CRFH030117.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRFH030117,USA,Fragrances,
InStock,,Not_Available,Home/Art of Living/Home/Decorative Objects,"
Panthère de Cartier blanket in merino wool and cashmere, hand-finished. Dimensions: W 190 x L 140 cm
",USD,1510.00,Panthère de Cartier blanket,https://www.cartier.com/en-us/art-of-living/home/decorative-objects/panthere-de-cartier-blanket-CROS000026.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CROS000026,USA,Home,
