Availability,Available_Colors_OR_Size,Available_Size,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
Add to bag,,,,"Small chain bag in black calfskin, golden-finish clasp, golden hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 160 mm high x 235 mm wide x 105 mm deep. Shoulder and cross-body carry.",,aeid5482 ,£,L1002352,"2,720","Chain bag small, Panthère de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Mini chain bag in red calfskin, golden-finish clasp, golden hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 140 mm high x 200 mm wide x 85 mm deep. Shoulder and cross-body carry.",,aeid5482 ,£,L1002357,"2,470","Chain bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Small handle bag in navy blue calfskin, black enamel and palladium-finish clasp, silver hot-stamped “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 180 mm high x 210 mm wide x 90 mm deep. Hand and cross-body carry.",,aeid5482 ,£,L1002373,"2,640","Small model handle bag, Panthère de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Mini chain bag in beige calfskin, palladium-finish clasp, silver hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 140 mm high x 200 mm wide x 85 mm deep. Shoulder and cross-body carry.",,aeid5482 ,£,L1002390,"2,470","Chain bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Small handle bag in grey calfskin, golden and black enamel-finish clasp, golden hot-stamped “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 180 mm high x 210 mm wide x 90 mm deep. Hand and cross-body carry.",,aeid5482 ,£,L1002375,"2,640","Small model handle bag, Panthère de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Mini handle bag in grey calfskin, golden and black enamel-finish clasp, golden hot-stamped “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 150 mm high x 185 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482 ,£,L1002376,"2,300","Handle bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Mini handle bag in navy blue calfskin, black enamel and palladium-finish clasp, silver hot-stamped “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 150 mm high x 185 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482 ,£,L1002374,"2,300","Handle bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Small handle bag in cherry red calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 180 mm high x 210 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482 ,£,L1002324,"2,640","Top handle bag small model, Panthère de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Mini chain bag in black calfskin, golden-finish clasp, golden hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 140 mm high x 200 mm wide x 85 mm deep. Shoulder and cross-body carry.",,aeid5482 ,£,L1002353,"2,470","Chain bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Small chain bag in cream white calfskin, golden-finish clasp, golden hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 160 mm high x 235 mm wide x 105 mm deep. Shoulder and cross-body carry.",,aeid5482 ,£,L1002358,"2,720","Chain bag small, Panthère de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Small chain bag in beige calfskin, palladium-finish clasp, silver hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 160 mm high x 235 mm wide x 105 mm deep. Shoulder and cross-body carry.",,aeid5482 ,£,L1002389,"2,720","Chain bag small, Panthère de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Mini chain bag in petrol blue calfskin, golden-finish clasp, golden hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 140 mm high x 200 mm wide x 85 mm deep. Shoulder and cross-body carry.",,aeid5482 ,£,L1002361,"2,470","Chain bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Mini chain bag in navy blue calfskin, palladium-finish clasp, silver hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 140 mm high x 200 mm wide x 85 mm deep. Shoulder and cross-body carry.",,aeid5482 ,£,L1002355,"2,470","Chain bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Mini chain bag in pale yellow calfskin, palladium-finish clasp, silver hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 140 mm high x 200 mm wide x 85 mm deep. Shoulder and cross-body carry.",,aeid5482 ,£,L1002362,"2,470","Chain bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Small chain bag in petrol blue calfskin, golden-finish clasp, golden hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 160 mm high x 235 mm wide x 105 mm deep. Shoulder and cross-body carry.",,aeid5482 ,£,L1002360,"2,720","Chain bag small, Panthère de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Small chain bag in navy blue calfskin, palladium-finish clasp, silver hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 160 mm high x 235 mm wide x 105 mm deep. Shoulder and cross-body carry.",,aeid5482 ,£,L1002354,"2,720","Chain bag small, Panthère de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Mini chain bag in cream white calfskin, golden-finish clasp, golden hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 140 mm high x 200 mm wide x 85 mm deep. Shoulder and cross-body carry.",,aeid5482 ,£,L1002359,"2,470","Chain bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Small chain bag in red calfskin, golden-finish clasp, golden hot-stamped “Cartier” signature on the inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 160 mm high x 235 mm wide x 105 mm deep. Shoulder and cross-body carry.",,aeid5482 ,£,L1002356,"2,720","Chain bag small, Panthère de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Jewellery case in red calfskin, XS model. Exterior: red calfskin and hot-stamped motif. Interior: black fabric, removable black cushion to hold items and slot for rings. Gold-finish zipped closure. Dimensions: 50 mm high x 90 mm wide.",,aeid5482 ,£,OG000808,420,"Diabolo de Cartier jewellery case, XS model",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Mini model handle bag in cherry red calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 150 mm high x 185 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482 ,£,L1002326,"2,300","Top handle bag mini model, Panthère de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Card holder in red calfskin, Diabolo de Cartier motif on the front, two flat pockets on the surfaces. Dimensions: 75 mm high x 100 mm wide.",,aeid5482 ,£,L3001945,195,"Card Holder, Must de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Red calfskin passport holder. Exterior: red calfskin and hot-stamped motif. Interior: black calfskin, gold-coloured Cartier logo, three credit card slots, two flat pockets. Dimensions: 137 mm high x 100 mm wide.",,aeid5482 ,£,L3002012,345,Diabolo de Cartier passport holder,aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,Double C de Cartier Simple Card Holder in cherry red calfskin with gold and cherry red enamel-finish “Cartier” signature 1 large interior slot and three card slots at the back Dimensions: 100 mm high x 70 mm wide,,aeid5482 ,£,L3001887,265,"Simple Card Holder, Double C de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
